time_s,I_xx,I_yy,I_zz,COM,density,speed_of_sound,z_engine,thrust,rocket_diameter,propellant_mass
0.0,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4389003794754302,301.636004047549,0.0,0.0,1.2,8100.0
0.01,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.43887125864749926,301.6336527116043,0.0,0.0,1.2,8100.0
0.02,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4388421919744353,301.63130561103685,0.0,0.0,1.2,8100.0
0.03,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4388131794476799,301.6289627459051,0.0,0.0,1.2,8100.0
0.04,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4387842210585399,301.6266241162553,0.0,0.0,1.2,8100.0
0.05,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4387553167987365,301.6242897221658,0.0,0.0,1.2,8100.0
0.060000000000000005,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4387264666593073,301.6219595636584,0.0,0.0,1.2,8100.0
0.07,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4386976706321033,301.61963364081913,0.0,0.0,1.2,8100.0
0.08,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.43866892870854257,301.61731195369754,0.0,0.0,1.2,8100.0
0.09,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.43864024088000686,301.6149945023391,0.0,0.0,1.2,8100.0
0.09999999999999999,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4386116071380449,301.61268128680103,0.0,0.0,1.2,8100.0
0.10999999999999999,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4385830274742679,301.61037230714453,0.0,0.0,1.2,8100.0
0.11999999999999998,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4385545018801048,301.6080675634145,0.0,0.0,1.2,8100.0
0.12999999999999998,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.43852603034724846,301.60576705567576,0.0,0.0,1.2,8100.0
0.13999999999999999,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4384976128672561,301.6034707839808,0.0,0.0,1.2,8100.0
0.15,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.43846924943160276,301.6011787483741,0.0,0.0,1.2,8100.0
0.16,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.43844094003217526,301.59889094893185,0.0,0.0,1.2,8100.0
0.17,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4384126846602781,301.5966073856821,0.0,0.0,1.2,8100.0
0.18000000000000002,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4383844833077799,301.5943280586967,0.0,0.0,1.2,8100.0
0.19000000000000003,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4383563359662144,301.59205296801946,0.0,0.0,1.2,8100.0
0.20000000000000004,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.43832824262733044,301.5897821137098,0.0,0.0,1.2,8100.0
0.21000000000000005,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.43830020328284264,301.58751549582314,0.0,0.0,1.2,8100.0
0.22000000000000006,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.43827221792432997,301.5852531144025,0.0,0.0,1.2,8100.0
0.23000000000000007,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.43824428654368675,301.58299496951514,0.0,0.0,1.2,8100.0
0.24000000000000007,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4382164091325228,301.58074106120364,0.0,0.0,1.2,8100.0
0.25000000000000006,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.43818858568261204,301.57849138952275,0.0,0.0,1.2,8100.0
0.26000000000000006,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4381608161857948,301.5762459545309,0.0,0.0,1.2,8100.0
0.2700000000000001,2391.630377810607,427361.82173163706,427361.82173163706,11.94602242606777,0.4381331006337758,301.5740047562744,0.0,0.0,1.2,8100.0
